[2023-01-25T10:58:14.411] [WARN] default -  error : -2, descripcion: ruta /foto método GET no implementada
[2023-01-25T10:59:35.759] [WARN] default -  error : -2, descripcion: ruta /ssss método GET no implementada
[2023-01-25T10:59:35.765] [WARN] default -  error : -2, descripcion: ruta /assasda método GET no implementada
[2023-01-25T10:59:35.766] [WARN] default -  error : -2, descripcion: ruta /assLINKasda método GET no implementada
[2023-01-25T10:59:35.767] [WARN] default -  error : -2, descripcion: ruta /foto método GET no implementada
[2023-01-25T10:59:35.768] [WARN] default -  error : -2, descripcion: ruta /sdsad método GET no implementada
[2023-01-25T10:59:41.560] [WARN] default -  error : -2, descripcion: ruta /ssss método GET no implementada
[2023-01-25T10:59:41.566] [WARN] default -  error : -2, descripcion: ruta /assasda método GET no implementada
[2023-01-25T10:59:41.567] [WARN] default -  error : -2, descripcion: ruta /assLINKasda método GET no implementada
[2023-01-25T10:59:41.568] [WARN] default -  error : -2, descripcion: ruta /foto método GET no implementada
[2023-01-25T10:59:41.570] [WARN] default -  error : -2, descripcion: ruta /sdsad método GET no implementada
[2023-01-25T10:59:53.207] [WARN] default -  error : -2, descripcion: ruta /ssss método GET no implementada
[2023-01-25T10:59:53.209] [WARN] default -  error : -2, descripcion: ruta /assasda método GET no implementada
[2023-01-25T10:59:53.212] [WARN] default -  error : -2, descripcion: ruta /assLINKasda método GET no implementada
[2023-01-25T10:59:53.215] [WARN] default -  error : -2, descripcion: ruta /foto método GET no implementada
[2023-01-25T10:59:53.216] [WARN] default -  error : -2, descripcion: ruta /sdsad método GET no implementada
[2023-01-25T12:54:45.628] [WARN] default -  error : -2, descripcion: ruta /api/carts//products método GET no implementada
[2023-01-25T12:55:53.250] [WARN] default -  error : -2, descripcion: ruta /api/carrito método POST no implementada
[2023-01-25T13:26:31.371] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:26:37.989] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:29:35.126] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:33:53.067] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:37:23.575] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:38:20.010] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:40:13.021] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:40:13.388] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:40:14.087] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:40:22.173] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T13:41:46.252] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T14:01:42.351] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T14:01:43.660] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-25T15:14:47.124] [WARN] default -  error : -2, descripcion: ruta /api/carts/ método DELETE no implementada
[2023-01-25T15:34:18.039] [WARN] default -  error : -2, descripcion: ruta /pedido/63d15120a4131d06a03f0b3a método POST no implementada
[2023-01-25T15:34:22.491] [WARN] default -  error : -2, descripcion: ruta /pedido/63d15120a4131d06a03f0b3a método POST no implementada
[2023-01-25T15:34:44.849] [WARN] default -  error : -2, descripcion: ruta /pedido/63d15120a4131d06a03f0b3a método POST no implementada
[2023-01-25T15:36:37.873] [WARN] default -  error : -2, descripcion: ruta /pedido/63d15120a4131d06a03f0b3a método POST no implementada
[2023-01-25T15:36:50.912] [WARN] default -  error : -2, descripcion: ruta /pedido/63d15120a4131d06a03f0b3a método POST no implementada
[2023-01-27T11:51:50.630] [WARN] default -  error : -2, descripcion: ruta /api/cart/63d3e4602a6e24cca2d7f4b9/products/[object%20HTMLInputElement] método GET no implementada
[2023-01-27T11:52:12.805] [WARN] default -  error : -2, descripcion: ruta /api/cart/63d3e4602a6e24cca2d7f4b9/products/63d13ba0b0a22fc6dc6d653a método GET no implementada
[2023-01-27T11:52:49.039] [WARN] default -  error : -2, descripcion: ruta /api/cart/63d3e4602a6e24cca2d7f4b9/products/63d13ba0b0a22fc6dc6d653a método DELETE no implementada
[2023-01-27T11:55:14.107] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-27T11:55:19.543] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-27T11:55:42.300] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-27T11:55:43.169] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-27T11:55:45.880] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-27T11:55:55.531] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-01-27T11:56:07.623] [WARN] default -  error : -2, descripcion: ruta /undefined método GET no implementada
[2023-02-03T13:43:14.997] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:43:38.323] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:43:44.160] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:43:45.576] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:43:45.925] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:43:46.535] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:43:53.203] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:13.232] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:13.234] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:13.634] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:13.640] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:13.651] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:38.234] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:44.136] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:45.573] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:46.020] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:44:51.599] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:45:14.239] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:45:15.114] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:45:16.114] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-03T13:45:38.201] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:29:23.769] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:29:47.524] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:29:49.736] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:29:51.005] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:29:53.874] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:54:10.224] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:54:32.733] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T11:54:55.317] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:29:32.044] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:30:03.128] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:30:04.630] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:33:05.074] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:33:55.942] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:35:38.648] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:40:00.459] [ERROR] default - error en api Products ruta : /2, peticion : GET
[2023-02-09T13:40:00.479] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:40:40.331] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:40:41.934] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T13:41:02.214] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T19:43:57.228] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T19:44:20.533] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-09T19:44:21.289] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:48:05.074] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:48:26.285] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:49:43.916] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:49:48.922] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:50:09.733] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:50:12.066] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:50:25.675] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T09:50:25.972] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:33:51.234] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:34:39.913] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:35:01.613] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:36:40.344] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:36:45.786] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:37:04.878] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:37:46.926] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:38:45.055] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:39:47.350] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:41:23.351] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:41:46.782] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:42:33.875] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:43:44.171] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:44:05.956] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:46:22.804] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:46:46.348] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:46:56.568] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:47:03.208] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:09.728] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:11.793] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:16.605] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:22.110] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:27.282] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:46.957] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:55:51.818] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:56:04.132] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:56:07.622] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:56:52.130] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:56:54.529] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:57:02.698] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:57:13.068] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:57:24.772] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:57:32.010] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T10:57:44.873] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:01:27.736] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:01:53.931] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:01:58.005] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:02:00.597] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:02:11.045] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:02:33.849] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:03:00.295] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:03:03.435] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:03:19.735] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:03:21.651] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:04:20.157] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:04:22.557] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:04:43.443] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:04:59.146] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:05:33.829] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:05:39.223] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:05:49.807] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:06:14.942] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:12:59.910] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:13:04.671] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:13:05.617] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:13:33.244] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:13:36.947] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:13:38.050] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:13:40.128] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:14:30.148] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:14:33.099] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:14:38.978] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:15:05.321] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:15:07.954] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:18:35.547] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:18:37.644] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:18:38.705] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:20:43.492] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:05.183] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:09.663] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:09.918] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:09.924] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:12.344] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:27.199] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:36.121] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:54.808] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:55.051] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:21:55.058] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:24:55.767] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:25:46.811] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:28:02.038] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:28:41.018] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:51:53.517] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:52:08.109] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:52:23.825] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:52:49.483] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:52:50.883] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:52:55.014] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:15.028] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:15.030] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:15.030] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:15.291] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:39.211] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:42.356] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:46.011] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:51.641] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:53:55.024] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:57:54.848] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:57:57.677] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T11:59:34.617] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:00:43.776] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:01:40.203] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:01:52.388] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:02:40.669] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:02:49.240] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:03:29.040] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T12:04:05.644] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
[2023-02-10T13:02:09.035] [WARN] default - RUTA inexistentes  ruta : /favicon.ico, peticion : GET
